time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2021-08-30T00:00:00Z,35.6,35.6,,64.454,64.454,,88.131,88.131,,105.174,105.174,,148.556,148.556,
2021-08-31T00:00:00Z,83.1,83.1,,110.058,110.058,,161.857,161.857,,142.961,142.961,,210.035,210.035,
2021-09-01T00:00:00Z,171,171,,220.865,220.865,,329.91,329.91,,286.472,286.472,,427.78,427.78,
2021-09-02T00:00:00Z,9.9,9.9,,15.88,15.88,,15.88,15.88,,16.88,16.88,,16.88,16.88,
2021-09-27T00:00:00Z,3.9,3.9,,4.808,4.808,,6.004,6.004,,5.337,5.337,,6.518,6.518,
2021-09-28T00:00:00Z,2.1,2.1,,3.016,3.016,,3.016,3.016,,3.359,3.359,,3.358,3.358,
2021-09-29T00:00:00Z,0.4,0.4,,0.319,0.319,,0.319,0.319,,0.476,0.476,,0.476,0.476,
2021-09-30T00:00:00Z,0.8,0.8,,0.53,0.53,,0.53,0.53,,0.755,0.755,,0.755,0.755,
2021-10-01T00:00:00Z,0.7,0.7,,0.55,0.55,,0.55,0.55,,0.706,0.706,,0.706,0.706,
2021-10-02T00:00:00Z,2.9,2.9,,3.968,3.968,,4.628,4.628,,4.609,4.609,,5.184,5.184,
2021-10-03T00:00:00Z,1.2,1.2,,1.361,1.361,,1.408,1.408,,1.58,1.58,,1.596,1.596,
2021-10-04T00:00:00Z,1.1,1.1,,1.085,1.085,,1.085,1.085,,1.33,1.33,,1.331,1.331,
2021-10-05T00:00:00Z,1.8,1.8,,2.217,2.217,,2.42,2.42,,2.765,2.765,,2.925,2.925,
2021-10-06T00:00:00Z,3.1,3.1,,3.816,3.816,,4.838,4.838,,4.344,4.344,,5.236,5.236,
2021-10-07T00:00:00Z,2.7,2.7,,3.424,3.424,,3.948,3.948,,4.04,4.04,,4.416,4.416,
2021-10-08T00:00:00Z,2.6,2.6,,3.282,3.282,,3.88,3.88,,3.901,3.901,,4.591,4.591,
2021-10-09T00:00:00Z,4.6,4.6,,6.411,6.411,,7.977,7.977,,7.713,7.713,,9.007,9.007,
2021-10-10T00:00:00Z,1.5,1.5,,1.953,1.953,,2.016,2.016,,2.12,2.12,,2.129,2.129,
2021-10-11T00:00:00Z,1.3,1.3,,1.497,1.497,,1.497,1.497,,1.747,1.747,,1.747,1.747,
2021-10-12T00:00:00Z,3.1,3.1,,4.106,4.106,,5.485,5.485,,5.086,5.086,,6.536,6.536,
2021-10-13T00:00:00Z,0.2,0.2,,0.031,0.031,,0.031,0.031,,0.088,0.088,,0.088,0.088,
2021-10-14T00:00:00Z,0.4,0.4,,0.191,0.191,,0.191,0.191,,0.327,0.327,,0.327,0.327,
2021-10-15T00:00:00Z,0.4,0.4,,0.175,0.175,,0.175,0.175,,0.262,0.262,,0.262,0.262,
2021-10-16T00:00:00Z,0.6,0.6,,0.406,0.406,,0.406,0.406,,0.479,0.479,,0.479,0.479,
2021-10-17T00:00:00Z,0.7,0.7,,0.613,0.613,,0.613,0.613,,0.713,0.713,,0.713,0.713,
2021-10-18T00:00:00Z,0.4,0.4,,0.122,0.122,,0.122,0.122,,0.249,0.249,,0.249,0.249,
