time_stamp,pm2.5_atm
2023-01-01,10.574
2023-01-02,1.9195
2023-01-03,17.154
2023-01-04,19.585
2023-01-05,3.727
2023-01-06,3.4235
2023-01-07,15.138
2023-01-08,3.3065
2023-01-09,1.6035
2023-01-10,0.2525
2023-01-11,2.1825
2023-01-12,3.5955000000000004
2023-01-13,7.7875
2023-01-14,4.2645
2023-01-15,1.0470000000000002
2023-01-16,4.872
2023-01-17,14.681
2023-01-18,3.558
2023-01-19,6.739
2023-01-20,13.762
2023-01-21,6.8995
2023-01-22,15.0915
2023-01-23,9.5935
2023-01-24,8.995
2023-01-25,25.206
2023-01-26,32.8445
2023-01-27,10.1945
2023-01-28,2.5815
2023-01-29,2.4705
2023-01-30,2.274
2023-01-31,9.517
2023-02-01,37.4995
2023-02-02,50.54
2023-02-03,63.263
2023-02-04,67.27250000000001
2023-02-05,52.8245
2023-02-06,18.192500000000003
2023-02-07,12.014
2023-02-08,21.3805
2023-02-10,10.982
2023-02-11,40.988
2023-02-12,46.3925
2023-02-13,38.799
2023-02-14,9.676
2023-02-15,0.5830000000000001
2023-02-16,3.574
2023-02-17,7.929
2023-02-18,29.3205
2023-02-19,20.348
2023-02-20,6.638
2023-02-21,3.5155
2023-02-22,1.3215
2023-02-23,1.496
2023-02-24,0.4355
2023-02-25,2.6955
2023-02-26,18.331
2023-02-27,0.091
2023-02-28,0.129
2023-03-01,1.98
2023-03-02,2.581
2023-03-03,4.668
2023-03-04,4.538
2023-03-05,1.062
2023-03-06,1.8565
2023-03-07,7.6475
2023-03-08,20.3105
2023-03-09,3.614500000000001
2023-03-10,1.146
2023-03-11,2.23
2023-03-12,12.1445
2023-03-13,13.554
2023-03-14,0.7245
2023-03-16,1.918
2023-03-17,4.186
2023-03-18,6.736000000000001
2023-03-19,2.25
2023-03-20,0.7384999999999999
2023-03-21,7.481999999999999
2023-03-22,0.7295
2023-03-23,0.7965
2023-03-24,2.465
2023-03-25,0.106
2023-03-26,0.6295
2023-03-27,1.2755
2023-03-28,1.4620000000000002
2023-03-29,0.6365
2023-03-30,1.1395
2023-03-31,1.027
2023-04-01,1.083
2023-04-02,1.057
2023-04-03,3.206
2023-04-04,1.1445
2023-04-05,4.5915
2023-04-06,2.0295
2023-04-07,5.596
2023-04-08,9.095
2023-04-09,5.998
2023-04-10,4.1445
2023-04-11,2.1905
2023-04-12,1.278
2023-04-13,2.323
2023-04-14,3.363
2023-04-15,3.7235
2023-04-16,5.0145
2023-04-17,2.3325
2023-04-18,3.037
2023-04-19,1.0285
2023-04-20,0.9905
2023-04-21,1.122
2023-04-22,4.465
2023-04-23,5.4115
2023-04-24,2.9405
2023-04-25,1.536
2023-04-26,9.8445
2023-04-27,2.3255
