Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/18/2022,AQS,490350015,1,0.061,ppm,71,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/19/2022,AQS,490350015,1,0.056,ppm,54,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/20/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/21/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/22/2022,AQS,490350015,1,0.06,ppm,67,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/23/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/24/2022,AQS,490350015,1,0.048,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/25/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/26/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/27/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/28/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/29/2022,AQS,490350015,1,0.046,ppm,43,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/30/2022,AQS,490350015,1,0.05,ppm,46,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
3/31/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/1/2022,AQS,490350015,1,0.06,ppm,67,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/2/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/3/2022,AQS,490350015,1,0.06,ppm,67,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/4/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/5/2022,AQS,490350015,1,0.054,ppm,50,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/6/2022,AQS,490350015,1,0.063,ppm,77,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/7/2022,AQS,490350015,1,0.057,ppm,58,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/8/2022,AQS,490350015,1,0.047,ppm,44,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/9/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/10/2022,AQS,490350015,1,0.055,ppm,51,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/11/2022,AQS,490350015,1,0.053,ppm,49,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
4/12/2022,AQS,490350015,1,0.051,ppm,47,Snowbird,17,100,44201,Ozone,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.569,-111.659
