Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2023,AQS,490353006,1,5,ug/m3 SC,5,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/2/2023,AQS,490353006,1,4,ug/m3 SC,4,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/3/2023,AQS,490353006,1,14,ug/m3 SC,13,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/4/2023,AQS,490353006,1,13,ug/m3 SC,12,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/5/2023,AQS,490353006,1,8,ug/m3 SC,7,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/6/2023,AQS,490353006,1,9,ug/m3 SC,8,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/7/2023,AQS,490353006,1,12,ug/m3 SC,11,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/8/2023,AQS,490353006,1,12,ug/m3 SC,11,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/9/2023,AQS,490353006,1,7,ug/m3 SC,6,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/10/2023,AQS,490353006,1,3,ug/m3 SC,3,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
1/11/2023,AQS,490353006,1,6,ug/m3 SC,6,Hawthorne,1,100,81102,PM10 Total 0-10um STP,41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222
