time_stamp,pm2.5_atm,pm10.0_atm
2020-01-01T00:00:00Z,19.339,24.4335
2020-01-02T00:00:00Z,3.0545,3.691
2020-01-03T00:00:00Z,3.9215,4.671
2020-01-04T00:00:00Z,6.5015,7.6405
2020-01-05T00:00:00Z,29.553,35.62
2020-01-06T00:00:00Z,12.5335,14.693
2020-01-07T00:00:00Z,4.5355,5.427
2020-01-08T00:00:00Z,7.2595,8.7815
2020-01-09T00:00:00Z,19.847,24.0165
2020-01-10T00:00:00Z,431.7585,432.309
2020-01-11T00:00:00Z,2.464,3.047
2020-01-12T00:00:00Z,6.5295,7.523
2020-01-13T00:00:00Z,2.428,2.98
2020-01-14T00:00:00Z,33.233,33.8
2020-01-15T00:00:00Z,4.894,6.127
2020-01-16T00:00:00Z,6.8765,8.118
2020-01-17T00:00:00Z,1.6135,1.991
2020-01-18T00:00:00Z,4.2375,5.193
2020-01-19T00:00:00Z,17.4775,20.0045
2020-01-20T00:00:00Z,45.443,56.128
2020-01-21T00:00:00Z,40.2155,51.0335
2020-01-22T00:00:00Z,18.03,21.2945
2020-01-23T00:00:00Z,15.418,18.1425
2020-01-24T00:00:00Z,19.7195,23.1895
2020-01-25T00:00:00Z,25.3675,32.269
2020-01-26T00:00:00Z,24.6645,31.981
2020-01-27T00:00:00Z,12.5075,16.011
2020-01-28T00:00:00Z,5.563,6.5415
2020-01-29T00:00:00Z,3.5645,4.24
2020-01-30T00:00:00Z,9.69,11.2035
2020-01-31T00:00:00Z,15.7145,18.7915
2020-02-01T00:00:00Z,15.3235,18.543
2020-02-02T00:00:00Z,6.463,7.8175
2020-02-03T00:00:00Z,2.27,3.061
2020-02-04T00:00:00Z,2.0095,2.676
2020-02-05T00:00:00Z,6.6165,7.912
2020-02-06T00:00:00Z,13.7945,16.3165
2020-02-07T00:00:00Z,10.881,12.9175
2020-02-08T00:00:00Z,6.6615,7.702
2020-02-09T00:00:00Z,1.6255,2.028
2020-02-10T00:00:00Z,5.8065,6.895
2020-02-11T00:00:00Z,13.204,15.123
2020-02-12T00:00:00Z,11.544,13.376
2020-02-13T00:00:00Z,12.2765,14.602
2020-02-14T00:00:00Z,4.127,5.3465
2020-02-15T00:00:00Z,7.906,9.1755
2020-02-16T00:00:00Z,11.757,13.488
2020-02-17T00:00:00Z,4.644,5.4465
2020-02-18T00:00:00Z,4.1535,5.134
2020-02-19T00:00:00Z,9.7975,11.675
2020-02-20T00:00:00Z,6.9505,8.4745
2020-02-21T00:00:00Z,20.3725,23.743
2020-02-22T00:00:00Z,34.733,41.4985
2020-02-23T00:00:00Z,19.3235,23.69
2020-02-24T00:00:00Z,3.0275,4.0225
2020-02-25T00:00:00Z,1.471,2.09
2020-02-26T00:00:00Z,4.1515,4.9425
2020-02-27T00:00:00Z,10.851,12.8855
2020-02-28T00:00:00Z,9.8255,11.8515
2020-02-29T00:00:00Z,2.969,3.62
2020-03-01T00:00:00Z,2.568,3.201
2020-03-02T00:00:00Z,2.83,3.367
2020-03-03T00:00:00Z,5.1685,6.0585
2020-03-04T00:00:00Z,9.3485,11.0425
2020-03-05T00:00:00Z,4.4205,5.366
2020-03-06T00:00:00Z,1.7705,2.2365
2020-03-07T00:00:00Z,1.3015,1.8115
2020-03-08T00:00:00Z,2.1375,2.949
2020-03-09T00:00:00Z,3.274,3.8255
2020-03-10T00:00:00Z,4.12,4.7675
2020-03-11T00:00:00Z,4.6315,5.4615
2020-03-12T00:00:00Z,4.385,5.203
2020-03-13T00:00:00Z,6.8095,8.22
2020-03-14T00:00:00Z,0.3275,0.445
2020-03-15T00:00:00Z,0.3425,0.503
2020-03-16T00:00:00Z,0.708,0.9505
2020-03-17T00:00:00Z,16.864,17.4745
2020-03-18T00:00:00Z,0.7095,0.952
2020-03-19T00:00:00Z,3.447,3.9025
2020-03-20T00:00:00Z,5.011,5.5885
2020-03-21T00:00:00Z,3.6865,4.215
2020-03-22T00:00:00Z,2.9325,3.389
2020-03-23T00:00:00Z,4.5365,5.038
2020-03-24T00:00:00Z,0.134,0.2415
2020-03-25T00:00:00Z,1.9905,2.495
2020-03-26T00:00:00Z,32.7245,33.26
2020-03-27T00:00:00Z,2.315,2.7515
2020-03-28T00:00:00Z,4.227,4.93
2020-03-29T00:00:00Z,6.296,7.289
2020-03-30T00:00:00Z,4.4095,5.001
2020-03-31T00:00:00Z,4.2485,4.5215
2020-04-01T00:00:00Z,0.8125,1.0945
2020-04-02T00:00:00Z,14.4845,14.81
2020-04-03T00:00:00Z,1.6005,1.9575
2020-04-04T00:00:00Z,114.9675,115.5725
2020-04-05T00:00:00Z,5.8565,6.6955
2020-04-06T00:00:00Z,1.829,2.372
2020-04-07T00:00:00Z,1.358,1.8185
2020-04-08T00:00:00Z,3.583,4.337
2020-04-09T00:00:00Z,3.8115,4.4945
2020-04-10T00:00:00Z,2.574,3.01
2020-04-11T00:00:00Z,188.551,189.093
2020-04-12T00:00:00Z,122.4685,122.786
2020-04-13T00:00:00Z,270.281,271.445
2020-04-14T00:00:00Z,48.975,49.8825
2020-04-15T00:00:00Z,609.628,610.047
2020-04-16T00:00:00Z,194.9735,195.4535
2020-04-17T00:00:00Z,4.1185,4.7155
2020-04-18T00:00:00Z,13.6335,15.314
2020-04-19T00:00:00Z,2.936,3.3875
2020-04-20T00:00:00Z,4.451,5.1775
2020-04-21T00:00:00Z,5.9375,6.7655
2020-04-22T00:00:00Z,63.45,64.163
