time_stamp,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b
2020-01-01T00:00:00Z,9.8,10.5,9,21.074,20.202,21.946,21.2975,20.449,22.146,27.4315,25.206,29.657,27.553,25.324,29.782
2020-01-02T00:00:00Z,1.9,2,1.9,3.2765,3.089,3.464,3.2765,3.089,3.464,4.0415,3.62,4.463,4.0415,3.62,4.463
2020-01-03T00:00:00Z,3.7,3.7,3.6,7.072,6.638,7.506,7.0755,6.642,7.509,8.3575,7.515,9.2,8.3575,7.515,9.2
2020-01-04T00:00:00Z,3.4,3.3,3.4,6.054,5.565,6.543,6.0625,5.565,6.56,7.3085,6.444,8.173,7.3115000000000006,6.444,8.179
2020-01-05T00:00:00Z,12.5,13,11.9,28.0105,26.138,29.883,28.332,26.442,30.222,34.1155,30.89,37.341,34.158,30.917,37.399
2020-01-06T00:00:00Z,8.1,8.5,7.8,17.059,16.036,18.082,17.451,16.458,18.444,20.4195,18.638,22.201,20.438000000000002,18.649,22.227
2020-01-07T00:00:00Z,2.8,2.7,2.8,4.552,4.064,5.04,4.762,4.27,5.254,5.813000000000001,5.016,6.61,6.108,5.302,6.914
2020-01-08T00:00:00Z,5.6,5.7,5.5,11.032,10.221,11.843,11.06,10.223,11.897,13.446000000000002,12.015,14.877,13.4545,12.015,14.894
2020-01-09T00:00:00Z,8,8.4,7.6,16.844,16.026,17.662,16.846,16.027,17.665,20.71,18.991,22.429,20.71,18.991,22.429
2020-01-10T00:00:00Z,1.1,1,1.2,1.2705000000000002,1.09,1.451,1.3010000000000002,1.12,1.482,1.775,1.422,2.128,1.814,1.462,2.166
2020-01-11T00:00:00Z,1.8,1.8,1.8,2.7815000000000003,2.576,2.987,2.7815000000000003,2.576,2.987,3.6390000000000002,3.161,4.117,3.6390000000000002,3.161,4.117
2020-01-12T00:00:00Z,4,4.1,3.9,7.7805,7.394,8.167,7.731,7.295,8.167,9.389,8.563,10.215,9.5145,8.814,10.215
2020-01-13T00:00:00Z,1.2,1.1,1.3,1.5510000000000002,1.354,1.748,1.5515,1.354,1.749,2.0225,1.663,2.382,2.0225,1.663,2.382
2020-01-14T00:00:00Z,2,1.9,2,3.243,3.009,3.477,3.243,3.009,3.477,4.0425,3.542,4.543,4.0425,3.542,4.543
2020-01-15T00:00:00Z,2.4,2.3,2.4,4.205,3.868,4.542,4.205,3.868,4.542,5.3100000000000005,4.646,5.974,5.3100000000000005,4.646,5.974
2020-01-16T00:00:00Z,3,2.9,3.1,5.9075,5.345,6.47,5.9075,5.345,6.47,7.2945,6.333,8.256,7.2945,6.333,8.256
2020-01-17T00:00:00Z,0.8,0.7,0.9,0.754,0.563,0.945,0.754,0.563,0.945,1.1895,0.863,1.516,1.19,0.864,1.516
2020-01-18T00:00:00Z,1.9,1.9,1.9,3.104,2.884,3.324,3.104,2.884,3.324,4.09,3.537,4.643,4.09,3.537,4.643
2020-01-19T00:00:00Z,7.4,7.6,7.2,16.2785,15.525,17.032,16.3335,15.573,17.094,18.9605,17.517,20.404,18.995,17.545,20.445
2020-01-20T00:00:00Z,17.1,18.2,16.1,37.2965,35.511,39.082,39.78,38.141,41.419,46.087999999999994,42.928,49.248,46.937,43.738,50.136
2020-01-21T00:00:00Z,17.2,18.2,16.3,36.2435,34.295,38.192,38.326,36.498,40.154,44.858000000000004,41.481,48.235,45.5505,42.13,48.971
2020-01-22T00:00:00Z,12.4,12.2,12.7,23.374499999999998,20.703,26.046,25.782,22.394,29.17,28.634999999999998,24.672,32.598,30.427,25.967,34.887
2020-01-23T00:00:00Z,8.1,8.2,7.9,15.6295,14.474,16.785,15.6925,14.518,16.867,18.572499999999998,16.686,20.459,18.5775,16.686,20.469
2020-01-24T00:00:00Z,12.1,12.3,12,24.548000000000002,22.479,26.617,25.4525,22.85,28.055,29.833,26.409,33.257,30.2265,26.423,34.03
2020-01-25T00:00:00Z,14.1,15,13.3,27.924,26.643,29.205,28.414,27.166,29.662,35.429,32.838,38.02,35.5175,32.916,38.119
2020-01-26T00:00:00Z,13.9,14.8,13,28.125999999999998,26.496,29.756,28.6205,27.014,30.227,37.8835,34.603,41.164,38.187,34.863,41.511
2020-01-27T00:00:00Z,6,6.4,5.6,11.893,11.339,12.447,11.8935,11.339,12.448,15.353,14.017,16.689,15.353,14.017,16.689
2020-01-28T00:00:00Z,3.1,3.1,3.1,5.4785,5.111,5.846,5.5055,5.137,5.874,6.6615,5.963,7.36,6.6795,5.98,7.379
2020-01-29T00:00:00Z,2.5,2.5,2.5,4.089,3.822,4.356,4.1145,3.847,4.382,4.976,4.424,5.528,4.989,4.436,5.542
2020-01-30T00:00:00Z,5.3,5.5,5.1,10.4295,9.872,10.987,10.44,9.876,11.004,12.2905,11.183,13.398,12.292,11.183,13.401
2020-01-31T00:00:00Z,6.6,6.9,6.3,12.9255,12.326,13.525,12.927,12.328,13.526,15.825500000000002,14.435,17.216,15.825500000000002,14.435,17.216
2020-02-01T00:00:00Z,7.8,8.2,7.4,15.5825,14.797,16.368,15.585,14.797,16.373,19.259,17.603,20.915,19.26,17.603,20.917
2020-02-02T00:00:00Z,6.3,6.6,6.1,12.257000000000001,11.505,13.009,12.285499999999999,11.538,13.033,15.0565,13.624,16.489,15.072000000000001,13.64,16.504
2020-02-03T00:00:00Z,1.4,1.4,1.4,1.777,1.636,1.918,1.777,1.636,1.918,2.496,2.113,2.879,2.496,2.113,2.879
2020-02-04T00:00:00Z,3.4,3.5,3.4,7.4205000000000005,7.333,7.508,7.454,7.366,7.542,9.4095,8.869,9.95,9.433499999999999,8.889,9.978
2020-02-05T00:00:00Z,3.4,3.5,3.3,7.0405,6.852,7.229,7.0405,6.852,7.229,8.8505,8.178,9.523,8.8505,8.178,9.523
2020-02-06T00:00:00Z,6.1,6.4,5.8,13.048,12.539,13.557,13.048,12.539,13.557,15.834999999999999,14.575,17.095,15.834999999999999,14.575,17.095
2020-02-07T00:00:00Z,6,6.2,5.8,11.725000000000001,11.028,12.422,11.7255,11.028,12.423,14.2845,12.876,15.693,14.2845,12.876,15.693
